Energy_Source,Transport,Frequency of Transport,Waste Production,How Long Machine Works Daily,Machine repairing(in Months),Energy efficiency,Recycling Waste,CarbonEmission
electricity,public,frequently,small Scale,9,0,No,YES,1426
natural gas,private,rarely,medium Scale,20,1,No,YES,1615
wood,public,rarely,small Scale,9,1,Sometimes,YES,1145
wood,public,rarely,medium Scale,1,2,No,YES,1698
natural gas,public,rarely,large Scale,14,1,Yes,YES,1554
natural gas,public,rarely,Mega Scale,15,0,No,YES,1418
electricity,public,rarely,medium Scale,7,2,Sometimes,YES,1226
natural gas,public,frequently,large Scale,10,2,Yes,YES,2664
natural gas,public,rarely,small Scale,3,1,Yes,YES,1338
coal,public,rarely,medium Scale,6,1,Sometimes,YES,1651
coal,private,very frequently,large Scale,7,2,No,YES,2996
natural gas,private,frequently,large Scale,0,1,Yes,YES,2923
coal,public,very frequently,Mega Scale,15,2,No,YES,3904
natural gas,public,very frequently,small Scale,20,1,No,YES,2675
natural gas,private,very frequently,small Scale,0,1,No,YES,2778
wood,public,rarely,large Scale,7,2,Sometimes,YES,1842
coal,public,rarely,Mega Scale,16,0,No,YES,1349
natural gas,private,rarely,large Scale,8,1,Sometimes,YES,1638
wood,private,very frequently,medium Scale,13,1,No,YES,4267
wood,private,very frequently,small Scale,17,2,No,YES,6142
natural gas,private,very frequently,large Scale,11,1,Sometimes,YES,2631
wood,public,frequently,small Scale,15,2,Yes,YES,2176
electricity,private,frequently,small Scale,12,1,Yes,YES,1279
wood,public,frequently,Mega Scale,13,2,Yes,YES,2666
coal,public,frequently,large Scale,4,2,No,YES,2022
electricity,private,very frequently,Mega Scale,11,0,Yes,YES,2183
coal,private,frequently,small Scale,23,2,Yes,YES,2322
natural gas,public,rarely,small Scale,0,1,Yes,YES,1383
electricity,private,frequently,small Scale,17,0,No,YES,1350
electricity,private,frequently,small Scale,2,0,Yes,YES,1671
natural gas,public,rarely,large Scale,2,2,Sometimes,YES,1929
natural gas,public,frequently,large Scale,0,1,No,YES,2065
coal,private,rarely,Mega Scale,13,2,No,NO,3759
wood,public,frequently,Mega Scale,14,2,No,YES,2804
coal,private,frequently,medium Scale,17,0,No,YES,1854
wood,private,rarely,medium Scale,23,1,Sometimes,YES,2259
wood,private,frequently,medium Scale,4,1,Sometimes,YES,2429
coal,private,rarely,Mega Scale,17,2,No,YES,1662
electricity,public,frequently,large Scale,7,2,Yes,YES,1600
electricity,public,rarely,small Scale,12,1,Yes,YES,819
coal,private,rarely,Mega Scale,5,1,Sometimes,YES,1201
natural gas,private,rarely,medium Scale,3,0,No,YES,1161
wood,private,very frequently,Mega Scale,4,2,Sometimes,YES,2553
coal,public,very frequently,small Scale,3,0,Sometimes,YES,1856
electricity,public,frequently,Mega Scale,6,1,Sometimes,YES,2791
wood,public,rarely,large Scale,8,1,Yes,YES,1111
natural gas,public,frequently,medium Scale,21,0,Sometimes,YES,2000
wood,private,rarely,Mega Scale,1,1,Sometimes,YES,1918
electricity,private,rarely,large Scale,22,0,Sometimes,YES,1622
wood,private,rarely,small Scale,19,1,No,YES,1368
coal,private,very frequently,large Scale,1,0,Yes,YES,2887
electricity,public,rarely,Mega Scale,10,2,Yes,YES,1674
wood,public,rarely,small Scale,22,2,Sometimes,NO,1664
coal,private,frequently,Mega Scale,6,0,No,YES,1902
electricity,private,rarely,Mega Scale,14,1,Sometimes,YES,2102
electricity,public,very frequently,small Scale,22,1,Sometimes,YES,2219
coal,public,very frequently,small Scale,15,0,No,YES,2246
electricity,private,rarely,Mega Scale,11,2,Yes,YES,2671
electricity,private,frequently,small Scale,12,2,Sometimes,YES,1812
wood,public,frequently,Mega Scale,10,2,No,YES,3293
coal,private,rarely,Mega Scale,23,0,Yes,YES,2830
natural gas,private,very frequently,small Scale,17,2,Sometimes,YES,2483
electricity,public,very frequently,small Scale,21,1,No,YES,2755
electricity,private,frequently,Mega Scale,11,2,No,YES,1688
wood,private,rarely,medium Scale,13,0,No,YES,1386
coal,public,rarely,Mega Scale,4,2,Yes,YES,1768
natural gas,private,very frequently,medium Scale,22,1,Sometimes,YES,2369
wood,public,rarely,Mega Scale,6,2,Yes,YES,1539
coal,private,frequently,medium Scale,5,2,No,YES,4087
natural gas,public,very frequently,small Scale,0,2,Yes,YES,1916
wood,public,rarely,medium Scale,21,0,Sometimes,NO,1017
natural gas,public,frequently,small Scale,18,2,No,YES,2645
natural gas,private,rarely,small Scale,20,1,Sometimes,YES,1596
electricity,public,frequently,medium Scale,19,1,Sometimes,YES,1840
coal,private,rarely,small Scale,16,2,Sometimes,YES,2356
wood,public,very frequently,Mega Scale,24,1,Sometimes,YES,3941
coal,public,frequently,small Scale,18,0,Sometimes,YES,1675
electricity,private,frequently,Mega Scale,22,2,Yes,YES,3704
natural gas,private,rarely,small Scale,20,0,No,YES,1214
natural gas,private,very frequently,Mega Scale,11,2,Sometimes,YES,4102
coal,private,rarely,large Scale,16,0,Yes,YES,1482
electricity,public,frequently,medium Scale,16,1,Sometimes,YES,1704
wood,private,frequently,small Scale,14,2,Sometimes,YES,5254
electricity,private,rarely,Mega Scale,12,0,Yes,YES,1696
natural gas,private,rarely,large Scale,7,1,Yes,YES,1300
coal,private,very frequently,Mega Scale,11,2,Yes,YES,5150
natural gas,private,rarely,small Scale,24,1,Yes,YES,1238
coal,private,very frequently,Mega Scale,24,2,No,YES,2876
electricity,public,frequently,small Scale,7,0,Yes,YES,1468
coal,public,rarely,small Scale,11,1,Yes,YES,1625
coal,private,rarely,medium Scale,20,1,Yes,YES,1996
natural gas,private,frequently,Mega Scale,5,2,No,YES,4099
natural gas,public,rarely,medium Scale,21,0,Sometimes,YES,1255
coal,private,rarely,Mega Scale,21,0,No,YES,1432
coal,private,rarely,Mega Scale,16,2,Sometimes,YES,3234
electricity,public,rarely,small Scale,10,2,Sometimes,YES,1163
coal,private,frequently,large Scale,22,2,No,YES,2678
coal,private,rarely,small Scale,11,2,Sometimes,NO,2366
electricity,public,frequently,medium Scale,12,2,Sometimes,YES,1532
natural gas,public,very frequently,medium Scale,11,2,No,YES,3301
electricity,private,very frequently,medium Scale,13,2,Sometimes,YES,2233
natural gas,public,frequently,Mega Scale,5,1,No,YES,2271
electricity,private,very frequently,medium Scale,15,0,No,YES,3371
wood,public,rarely,small Scale,13,1,Sometimes,YES,1220
wood,private,very frequently,Mega Scale,18,0,Sometimes,YES,4219
coal,private,very frequently,large Scale,9,2,Sometimes,YES,4061
wood,private,very frequently,large Scale,23,0,Sometimes,NO,2926
wood,private,rarely,large Scale,2,1,No,NO,1601
natural gas,public,very frequently,small Scale,14,1,No,YES,2562
natural gas,private,very frequently,large Scale,16,0,Yes,YES,4726
coal,private,rarely,large Scale,23,1,No,YES,5314
wood,public,rarely,Mega Scale,20,2,Sometimes,NO,1934
electricity,public,rarely,medium Scale,6,2,Yes,YES,2061
natural gas,public,rarely,medium Scale,6,1,No,YES,1084
electricity,public,rarely,large Scale,1,1,No,YES,1198
natural gas,private,rarely,small Scale,4,0,Sometimes,YES,4159
electricity,private,very frequently,small Scale,0,0,Yes,YES,3599
wood,public,rarely,medium Scale,23,1,No,YES,1728
electricity,public,very frequently,Mega Scale,8,1,No,YES,2340
electricity,private,rarely,small Scale,11,2,Yes,YES,1172
coal,public,rarely,small Scale,13,2,No,YES,1566
wood,public,rarely,Mega Scale,9,1,Yes,YES,1983
electricity,public,rarely,small Scale,1,0,Sometimes,YES,956
electricity,private,very frequently,large Scale,22,2,Sometimes,YES,3207
electricity,private,rarely,small Scale,5,1,No,YES,611
coal,private,rarely,Mega Scale,3,0,Sometimes,YES,2079
natural gas,private,rarely,medium Scale,6,1,Yes,YES,2803
natural gas,private,rarely,small Scale,17,2,Yes,YES,1389
coal,private,rarely,large Scale,13,2,Yes,YES,4276
wood,private,frequently,medium Scale,7,1,No,YES,3339
electricity,private,very frequently,medium Scale,8,1,Yes,YES,2491
natural gas,public,rarely,Mega Scale,8,1,Sometimes,YES,1183
natural gas,public,very frequently,medium Scale,23,1,Sometimes,YES,2048
wood,private,very frequently,Mega Scale,21,1,Yes,YES,3522
electricity,public,frequently,medium Scale,19,1,No,YES,1447
electricity,public,frequently,medium Scale,16,1,No,YES,2093
natural gas,private,rarely,Mega Scale,0,0,Sometimes,YES,1761
electricity,private,rarely,large Scale,12,1,Yes,YES,2235
coal,private,frequently,small Scale,18,2,Sometimes,YES,1825
natural gas,public,rarely,Mega Scale,0,2,No,YES,1765
coal,public,rarely,small Scale,4,2,No,YES,1423
coal,public,very frequently,large Scale,15,1,Sometimes,YES,2956
electricity,public,frequently,Mega Scale,1,1,Sometimes,YES,1554
natural gas,public,rarely,Mega Scale,11,1,Sometimes,YES,1352
wood,private,frequently,large Scale,21,1,No,YES,2785
coal,public,very frequently,Mega Scale,4,1,Sometimes,YES,3019
electricity,private,frequently,small Scale,6,2,Sometimes,YES,1420
wood,public,rarely,medium Scale,19,2,No,YES,1389
wood,private,very frequently,Mega Scale,5,2,Sometimes,YES,3238
coal,public,very frequently,Mega Scale,3,1,No,YES,3781
natural gas,public,rarely,medium Scale,15,1,Sometimes,YES,946
electricity,public,rarely,large Scale,14,2,Yes,YES,1338
electricity,public,rarely,small Scale,1,0,Sometimes,YES,924
wood,public,rarely,Mega Scale,22,1,Yes,NO,2787
natural gas,public,rarely,Mega Scale,15,2,No,YES,2187
coal,public,rarely,medium Scale,5,1,Yes,YES,1361
wood,public,very frequently,medium Scale,6,1,No,YES,2744
natural gas,public,rarely,small Scale,1,1,Sometimes,YES,917
coal,public,rarely,Mega Scale,15,1,No,YES,1683
wood,public,rarely,small Scale,24,2,Yes,YES,1395
natural gas,private,very frequently,small Scale,10,1,Yes,YES,4584
wood,public,rarely,large Scale,22,2,No,YES,1790
electricity,public,rarely,small Scale,4,0,Yes,YES,609
electricity,public,frequently,large Scale,7,2,No,YES,2286
natural gas,public,rarely,Mega Scale,11,1,Sometimes,YES,1618
electricity,private,rarely,large Scale,18,1,Yes,YES,3310
wood,private,very frequently,large Scale,5,0,Yes,YES,3277
natural gas,private,frequently,small Scale,2,1,No,YES,1654
wood,private,frequently,large Scale,21,0,Sometimes,YES,1547
coal,private,very frequently,medium Scale,10,0,Yes,YES,3812
natural gas,private,rarely,medium Scale,17,2,Yes,YES,1367
natural gas,private,frequently,Mega Scale,1,0,No,NO,3824
wood,private,rarely,large Scale,5,1,Sometimes,YES,4086
natural gas,private,rarely,small Scale,19,1,Sometimes,YES,1341
natural gas,private,rarely,Mega Scale,5,1,Yes,YES,1373
wood,private,rarely,medium Scale,7,1,Yes,YES,1737
electricity,public,very frequently,small Scale,20,2,No,NO,2702
coal,public,rarely,medium Scale,9,1,Yes,NO,1532
wood,private,very frequently,medium Scale,16,1,Yes,YES,3311
wood,private,frequently,small Scale,10,0,Yes,YES,2189
wood,private,rarely,Mega Scale,6,1,No,YES,3095
electricity,private,rarely,large Scale,0,1,No,YES,4492
wood,private,rarely,small Scale,15,1,Sometimes,YES,1072
electricity,private,very frequently,Mega Scale,14,2,Yes,YES,2529
coal,private,rarely,small Scale,2,1,Sometimes,YES,1693
wood,public,very frequently,large Scale,15,0,Yes,YES,2228
coal,public,rarely,large Scale,16,0,No,YES,1928
natural gas,private,frequently,large Scale,11,0,Sometimes,YES,4606
wood,private,frequently,medium Scale,11,1,Sometimes,YES,2523
coal,private,rarely,large Scale,20,0,Sometimes,YES,1301
natural gas,public,rarely,Mega Scale,19,2,Sometimes,YES,2244
coal,public,very frequently,medium Scale,5,0,Sometimes,YES,2774
coal,private,rarely,small Scale,13,1,Sometimes,YES,1172
natural gas,private,rarely,large Scale,21,0,No,YES,1155
coal,public,rarely,small Scale,8,2,No,YES,1890
coal,public,very frequently,small Scale,7,2,No,YES,3620
wood,public,very frequently,small Scale,13,1,Sometimes,NO,2427
natural gas,private,rarely,medium Scale,13,1,Sometimes,YES,3876
wood,private,rarely,large Scale,5,0,Sometimes,YES,1980
natural gas,public,rarely,large Scale,2,1,No,YES,2247
electricity,private,very frequently,Mega Scale,13,0,Sometimes,YES,2408
wood,private,very frequently,small Scale,7,1,Yes,YES,5500
coal,private,very frequently,medium Scale,2,2,No,YES,3558
natural gas,private,very frequently,large Scale,14,2,Sometimes,YES,5236
natural gas,public,very frequently,small Scale,17,1,Yes,YES,2737
wood,public,rarely,Mega Scale,22,2,Yes,YES,1705
electricity,private,frequently,small Scale,15,1,Yes,YES,1363
electricity,public,rarely,large Scale,21,0,Yes,YES,730
wood,private,very frequently,Mega Scale,16,1,No,YES,3114
electricity,public,rarely,Mega Scale,19,1,Yes,YES,1216
natural gas,private,rarely,small Scale,6,2,Yes,YES,1651
electricity,private,rarely,Mega Scale,16,1,No,YES,1347
coal,public,rarely,large Scale,2,0,No,YES,1419
electricity,private,frequently,medium Scale,21,0,No,YES,4807
wood,public,frequently,medium Scale,7,2,Yes,YES,2141
electricity,public,very frequently,medium Scale,14,0,No,YES,2414
natural gas,public,rarely,medium Scale,16,1,Sometimes,YES,1266
electricity,private,rarely,Mega Scale,8,2,Yes,YES,3136
coal,private,rarely,small Scale,23,2,Yes,YES,2887
electricity,private,frequently,large Scale,15,1,Sometimes,YES,1826
electricity,private,frequently,medium Scale,22,0,Sometimes,YES,1274
wood,public,very frequently,small Scale,24,2,Yes,YES,2193
natural gas,private,rarely,small Scale,18,0,No,YES,1438
electricity,public,rarely,Mega Scale,19,0,Sometimes,YES,1724
electricity,public,rarely,small Scale,8,0,Yes,YES,630
coal,private,rarely,Mega Scale,15,2,No,NO,1626
coal,private,rarely,medium Scale,14,2,Sometimes,YES,1529
coal,private,rarely,medium Scale,11,1,Yes,NO,3664
natural gas,public,frequently,Mega Scale,14,0,Sometimes,YES,2059
electricity,public,very frequently,large Scale,9,2,No,YES,2476
coal,private,rarely,small Scale,5,1,Sometimes,YES,1538
wood,private,frequently,medium Scale,7,1,Yes,YES,5146
electricity,private,rarely,medium Scale,7,0,No,YES,1249
natural gas,public,rarely,small Scale,13,0,No,YES,1614
natural gas,private,very frequently,Mega Scale,8,1,Sometimes,YES,2263
coal,private,rarely,large Scale,9,0,Yes,YES,2709
wood,public,rarely,medium Scale,11,1,Sometimes,YES,1441
wood,private,frequently,Mega Scale,9,1,No,YES,5194
coal,private,rarely,large Scale,13,0,Yes,NO,1700
coal,public,very frequently,small Scale,11,2,Yes,YES,2901
electricity,private,rarely,small Scale,8,0,No,YES,971
coal,public,rarely,small Scale,8,2,Yes,YES,2243
natural gas,private,rarely,large Scale,9,2,Yes,YES,4383
natural gas,private,very frequently,large Scale,17,2,Yes,YES,7295
wood,public,rarely,large Scale,20,1,No,YES,1195
electricity,public,very frequently,large Scale,0,1,No,YES,2165
coal,private,very frequently,small Scale,1,2,No,YES,2307
wood,private,very frequently,large Scale,9,2,Sometimes,YES,4304
wood,private,frequently,small Scale,8,2,Sometimes,YES,1993
natural gas,private,rarely,Mega Scale,11,1,Sometimes,YES,1705
electricity,public,frequently,medium Scale,11,1,Yes,YES,1537
natural gas,private,rarely,Mega Scale,4,1,No,YES,1322
coal,public,frequently,large Scale,22,1,Yes,YES,2066
wood,public,very frequently,medium Scale,15,0,Sometimes,YES,2411
coal,public,frequently,small Scale,12,1,No,YES,1680
electricity,private,rarely,large Scale,21,2,Sometimes,YES,1959
wood,public,frequently,small Scale,17,2,Yes,YES,2035
coal,public,rarely,large Scale,14,2,Yes,YES,2321
coal,public,very frequently,large Scale,3,1,No,YES,2732
wood,private,frequently,Mega Scale,23,2,Yes,NO,4917
electricity,public,rarely,Mega Scale,14,2,No,YES,936
electricity,public,frequently,Mega Scale,14,2,Sometimes,YES,2131
wood,public,rarely,Mega Scale,4,1,Yes,YES,2089
electricity,public,very frequently,medium Scale,13,0,Yes,YES,2110
natural gas,public,very frequently,Mega Scale,10,0,Sometimes,YES,3481
wood,private,very frequently,medium Scale,2,1,No,YES,2837
electricity,private,frequently,small Scale,10,2,No,YES,2303
electricity,private,frequently,small Scale,10,0,No,YES,2286
wood,public,rarely,large Scale,11,1,Sometimes,YES,1902
wood,public,frequently,small Scale,0,2,Yes,YES,2181
wood,private,very frequently,medium Scale,21,0,No,YES,3071
coal,public,rarely,Mega Scale,8,2,No,YES,3043
wood,public,rarely,medium Scale,22,0,No,YES,1312
wood,private,very frequently,small Scale,12,0,Sometimes,NO,2836
wood,public,very frequently,Mega Scale,20,1,Yes,YES,2060
wood,private,rarely,large Scale,13,2,Sometimes,YES,2131
natural gas,private,very frequently,Mega Scale,1,1,Yes,YES,5480
wood,public,rarely,large Scale,13,0,Sometimes,YES,1438
coal,public,rarely,large Scale,23,2,Sometimes,YES,1922
electricity,private,very frequently,medium Scale,12,2,No,YES,2148
natural gas,private,very frequently,small Scale,24,0,Sometimes,YES,2383
coal,public,rarely,small Scale,4,0,Yes,YES,1304
natural gas,private,rarely,medium Scale,23,2,Yes,YES,1619
electricity,private,frequently,large Scale,12,1,Sometimes,YES,3563
coal,public,rarely,small Scale,10,0,Yes,NO,1660
natural gas,private,rarely,small Scale,17,2,Yes,YES,1565
electricity,private,rarely,Mega Scale,12,1,Sometimes,YES,1341
electricity,public,frequently,large Scale,2,0,No,YES,1545
wood,public,frequently,Mega Scale,18,0,No,YES,1578
wood,public,rarely,small Scale,15,0,Yes,YES,1437
wood,private,rarely,large Scale,22,1,Sometimes,YES,2698
coal,private,rarely,medium Scale,5,0,Sometimes,YES,1718
coal,private,rarely,medium Scale,9,2,Yes,YES,1511
wood,private,frequently,Mega Scale,0,1,Yes,YES,2662
coal,public,rarely,small Scale,6,1,Yes,YES,1080
coal,public,frequently,Mega Scale,9,1,Sometimes,YES,1623
natural gas,private,rarely,medium Scale,19,0,Sometimes,YES,666
electricity,public,frequently,medium Scale,15,0,Sometimes,YES,1726
wood,public,rarely,Mega Scale,2,2,No,YES,2095
wood,private,rarely,large Scale,8,1,Yes,YES,1736
natural gas,public,rarely,large Scale,7,1,No,YES,1458
wood,private,rarely,large Scale,0,2,Sometimes,YES,1581
wood,public,very frequently,small Scale,22,2,Sometimes,YES,2111
wood,public,very frequently,Mega Scale,3,0,No,YES,2932
natural gas,private,rarely,large Scale,7,1,Sometimes,YES,1616
natural gas,private,very frequently,medium Scale,17,1,Sometimes,YES,2270
electricity,public,rarely,medium Scale,20,1,No,YES,1122
electricity,public,rarely,medium Scale,2,1,No,YES,1875
wood,public,very frequently,medium Scale,4,2,No,YES,3239
coal,public,rarely,large Scale,24,2,No,YES,2180
natural gas,private,frequently,large Scale,22,0,Yes,YES,1778
coal,private,rarely,small Scale,24,2,Sometimes,YES,1664
electricity,public,very frequently,Mega Scale,2,1,Sometimes,YES,3110
electricity,private,frequently,Mega Scale,8,2,Sometimes,YES,2338
coal,public,frequently,small Scale,10,2,Yes,YES,2940
coal,public,very frequently,medium Scale,4,0,Yes,YES,2442
natural gas,public,rarely,medium Scale,10,1,No,YES,1688
electricity,public,frequently,medium Scale,18,2,No,YES,2178
natural gas,private,frequently,large Scale,3,0,Sometimes,NO,1453
coal,private,rarely,small Scale,13,1,No,YES,1663
electricity,public,frequently,Mega Scale,2,1,Yes,YES,2214
electricity,public,rarely,small Scale,23,2,No,YES,1113
natural gas,public,frequently,small Scale,24,2,No,YES,2248
electricity,private,rarely,large Scale,7,1,Yes,YES,1170
electricity,private,very frequently,small Scale,2,2,Sometimes,YES,4281
electricity,private,rarely,large Scale,19,1,No,YES,1861
wood,public,rarely,small Scale,20,0,Sometimes,YES,854
natural gas,public,rarely,large Scale,8,2,Sometimes,YES,1897
wood,private,rarely,medium Scale,6,1,Sometimes,YES,2333
coal,public,rarely,Mega Scale,15,2,No,YES,2112
electricity,private,frequently,small Scale,3,1,Sometimes,YES,3068
coal,private,rarely,small Scale,13,0,No,YES,1706
electricity,public,frequently,medium Scale,24,1,Sometimes,YES,1311
coal,public,very frequently,Mega Scale,11,2,No,NO,4087
electricity,private,very frequently,large Scale,14,1,Yes,YES,1983
electricity,private,rarely,small Scale,2,2,Sometimes,YES,2627
electricity,public,rarely,large Scale,15,2,Yes,NO,1514
natural gas,public,rarely,small Scale,3,0,No,YES,821
natural gas,private,rarely,small Scale,18,2,Sometimes,YES,2165
wood,private,very frequently,Mega Scale,3,1,Sometimes,YES,2654
electricity,private,rarely,small Scale,11,0,Sometimes,YES,2893
natural gas,private,frequently,medium Scale,8,2,Yes,YES,4087
coal,private,rarely,medium Scale,11,0,Yes,YES,3294
electricity,private,very frequently,large Scale,21,0,No,NO,2113
natural gas,private,frequently,small Scale,5,0,Yes,NO,1653
coal,public,frequently,large Scale,1,2,No,YES,2466
electricity,private,rarely,Mega Scale,17,2,No,YES,2019
coal,private,rarely,large Scale,20,0,Yes,NO,5025
natural gas,public,rarely,large Scale,24,0,Yes,YES,1136
wood,public,very frequently,Mega Scale,3,0,Sometimes,NO,3123
coal,private,rarely,Mega Scale,16,2,Sometimes,YES,1762
natural gas,private,frequently,medium Scale,6,0,No,YES,1632
coal,public,rarely,small Scale,7,1,Sometimes,YES,1591
electricity,private,rarely,medium Scale,11,2,No,YES,3067
electricity,private,rarely,small Scale,17,2,Yes,YES,1200
wood,private,very frequently,large Scale,21,2,Yes,YES,3670
wood,public,rarely,small Scale,8,2,Yes,YES,1884
coal,public,very frequently,medium Scale,0,2,Sometimes,YES,3596
natural gas,private,rarely,small Scale,21,1,Yes,YES,830
coal,private,frequently,Mega Scale,20,1,Sometimes,YES,3048
electricity,private,rarely,small Scale,11,1,Sometimes,YES,721
wood,private,rarely,large Scale,8,2,Yes,YES,1429
wood,private,very frequently,large Scale,12,1,Sometimes,YES,2503
wood,private,rarely,Mega Scale,2,0,No,YES,1045
natural gas,public,rarely,medium Scale,21,1,No,YES,1301
wood,private,frequently,small Scale,7,2,No,NO,2538
electricity,public,very frequently,medium Scale,12,2,No,YES,2353
coal,public,frequently,Mega Scale,10,2,Yes,YES,2737
electricity,private,rarely,Mega Scale,1,1,No,YES,2069
natural gas,private,rarely,Mega Scale,1,0,No,YES,1882
wood,private,frequently,Mega Scale,22,1,Yes,YES,2078
coal,private,rarely,small Scale,11,0,No,YES,4549
coal,private,rarely,medium Scale,13,0,Yes,YES,1293
natural gas,public,rarely,Mega Scale,18,2,Sometimes,YES,1687
coal,public,very frequently,medium Scale,11,2,No,YES,3060
wood,public,frequently,small Scale,21,2,No,YES,2131
natural gas,public,rarely,Mega Scale,15,0,Sometimes,YES,1432
wood,public,frequently,small Scale,19,0,Sometimes,YES,1423
coal,public,rarely,medium Scale,15,2,Yes,YES,1848
natural gas,public,rarely,small Scale,11,1,Sometimes,YES,1363
coal,private,rarely,small Scale,21,1,Yes,YES,1869
natural gas,private,rarely,small Scale,13,0,Yes,YES,854
coal,public,very frequently,medium Scale,12,2,Yes,YES,2512
wood,private,very frequently,large Scale,10,1,No,YES,3585
wood,private,frequently,large Scale,4,0,Sometimes,YES,1476
natural gas,private,frequently,medium Scale,2,0,Yes,YES,3793
natural gas,public,rarely,medium Scale,4,1,Yes,YES,1184
electricity,private,rarely,large Scale,13,2,No,YES,1538
electricity,public,rarely,Mega Scale,20,2,Sometimes,YES,2121
natural gas,public,very frequently,large Scale,7,1,Yes,YES,2573
wood,public,rarely,large Scale,18,0,Sometimes,YES,1196
natural gas,public,rarely,small Scale,3,0,No,YES,1251
electricity,private,frequently,medium Scale,11,0,Yes,YES,2210
electricity,public,rarely,small Scale,17,0,Sometimes,YES,674
natural gas,private,rarely,large Scale,3,0,Sometimes,YES,1348
natural gas,private,rarely,Mega Scale,20,0,Yes,YES,3355
wood,public,rarely,large Scale,13,2,No,YES,2117
natural gas,public,rarely,large Scale,7,0,No,YES,1434
natural gas,private,rarely,small Scale,4,2,Yes,YES,1309
natural gas,public,very frequently,large Scale,22,0,Sometimes,YES,2808
coal,public,very frequently,medium Scale,13,0,Yes,NO,2565
coal,private,rarely,Mega Scale,16,0,Yes,YES,3048
natural gas,private,rarely,Mega Scale,4,0,No,YES,2602
coal,public,rarely,medium Scale,13,1,No,YES,1308
natural gas,public,rarely,Mega Scale,6,2,Yes,YES,2017
electricity,public,rarely,large Scale,9,2,Yes,YES,1604
wood,public,very frequently,medium Scale,17,1,No,YES,2385
wood,public,frequently,large Scale,14,2,Yes,YES,2556
wood,public,very frequently,medium Scale,17,2,Sometimes,YES,2680
natural gas,private,very frequently,small Scale,6,1,Sometimes,NO,4038
wood,private,rarely,medium Scale,14,1,Yes,YES,5753
wood,private,rarely,large Scale,4,2,Sometimes,YES,2247
wood,public,rarely,small Scale,18,1,Sometimes,YES,1130
coal,public,very frequently,small Scale,15,1,Yes,YES,2500
coal,public,rarely,small Scale,16,1,Sometimes,YES,1571
electricity,public,frequently,large Scale,15,2,Sometimes,YES,1916
coal,public,rarely,small Scale,11,2,No,YES,1514
natural gas,public,very frequently,Mega Scale,13,2,No,YES,2766
electricity,public,frequently,Mega Scale,9,1,No,YES,2753
wood,public,rarely,large Scale,1,2,No,YES,1702
coal,public,rarely,small Scale,2,2,Yes,YES,2180
natural gas,private,rarely,medium Scale,5,0,No,YES,949
coal,public,very frequently,small Scale,23,2,Yes,YES,2812
electricity,public,very frequently,small Scale,13,0,Yes,YES,2340
electricity,public,rarely,small Scale,16,0,Yes,YES,977
wood,private,very frequently,small Scale,11,0,Yes,YES,3634
coal,private,very frequently,medium Scale,12,0,No,YES,2260
coal,private,rarely,Mega Scale,18,2,No,YES,1379
wood,private,very frequently,medium Scale,2,0,Sometimes,YES,1833
coal,private,rarely,Mega Scale,20,2,Yes,YES,5432
coal,public,very frequently,large Scale,19,1,Yes,YES,2794
electricity,private,rarely,Mega Scale,11,2,No,YES,1951
coal,public,rarely,medium Scale,0,2,No,YES,1197
electricity,private,rarely,small Scale,16,2,Yes,YES,907
wood,private,rarely,Mega Scale,15,0,Yes,YES,1874
electricity,private,rarely,small Scale,5,1,Sometimes,YES,1875
electricity,private,very frequently,medium Scale,20,2,Yes,YES,2517
coal,private,very frequently,medium Scale,21,0,No,YES,2935
coal,private,rarely,medium Scale,11,2,No,NO,2647
coal,private,very frequently,Mega Scale,11,0,Sometimes,YES,3223
electricity,private,rarely,medium Scale,7,2,No,YES,1699
wood,private,rarely,Mega Scale,2,0,Yes,YES,1374
coal,private,frequently,large Scale,17,2,No,YES,1674
natural gas,private,very frequently,medium Scale,20,1,Sometimes,YES,4789
coal,private,frequently,Mega Scale,15,2,Yes,YES,2800
electricity,public,frequently,small Scale,24,0,Sometimes,YES,1196
wood,private,rarely,large Scale,1,1,No,YES,1594
coal,private,rarely,medium Scale,4,0,Sometimes,YES,974
coal,public,rarely,large Scale,9,2,Yes,YES,1646
natural gas,private,rarely,large Scale,16,1,No,YES,4302
natural gas,private,rarely,large Scale,13,0,No,YES,1973
coal,private,rarely,Mega Scale,24,0,Sometimes,YES,3571
electricity,private,frequently,medium Scale,18,1,Yes,YES,1585
wood,private,very frequently,large Scale,11,2,Sometimes,YES,4367
natural gas,public,rarely,small Scale,15,2,Yes,NO,1620
natural gas,private,rarely,small Scale,14,1,Yes,YES,1043
natural gas,private,very frequently,small Scale,21,1,Yes,YES,4281
natural gas,public,frequently,small Scale,24,0,No,YES,1478
wood,private,frequently,medium Scale,18,2,Yes,YES,4328
electricity,public,rarely,Mega Scale,5,2,Sometimes,YES,1876
wood,private,rarely,large Scale,18,0,Yes,YES,2680
electricity,private,frequently,medium Scale,18,0,Yes,YES,1697
wood,private,rarely,large Scale,1,0,Sometimes,YES,974
electricity,public,rarely,large Scale,17,2,Yes,YES,1148
coal,private,very frequently,large Scale,20,0,Yes,YES,3357
wood,private,frequently,medium Scale,0,0,Sometimes,YES,1493
electricity,private,rarely,small Scale,17,0,No,YES,1043
natural gas,private,frequently,large Scale,22,1,Yes,NO,1867
wood,private,very frequently,medium Scale,22,2,Sometimes,YES,3062
